사업자등록번호,순번,데이터수집일자,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
5382500007,3,20220527,2020130006269,오토 커플러 장치,20130726,C21C1/06,1,,3,3,I,20221114,,
5382500007,4,20220527,1020130093818,슬래그 유출 방지 장치 및 여기에 사용되는 고압가스 분사 랜스,20130807,B22D43/001,2,,2,8,I,20221114,,
5382500007,5,20220527,1020130095917,임펠러 성능 평가 장치 및 평가 방법,20130813,B01F35/212,2,,1,10,I,20221114,,
5382500007,6,20220527,1020130106070,위상 지연과 데이터 분포 형상지수를 이용한 베어링 결함 진단 시스템 및 그 진단 방법,20130904,G01M13/045,,,1,4,I,20221114,,
5382500007,7,20220527,20130107860,용선 탈류 설비의 회전형 인젝션 랜스 장치,20130909,C21C1/06,,,4,3,I,20221114,,
5382500007,8,20220527,2020130007559,용선작업용 슬래그 스키머 자동 체결 및 분리장치,20130909,B22D43/005,2,,4,5,I,20221114,,
5382500007,9,20220527,2020130007832,전기방식용  튜블러전극,20130923,C23F13/10,4,1,1,6,I,20221114,,
5382500007,10,20220527,2020130007900,냉각성능을 향상시킨 제어봉 구동장치용 코일 조립체,20130924,G21C7/12,3,,1,4,I,20221114,,
1198100008,1,20220430,2020030018911,해설집의 분리 및 보관이 용이한 문제집,20030616,B42D1/001,,,1,2,I,20221114,,
1198100008,2,20220430,2020030018910,해설집의 분리가 용이한 문제집,20030616,G09B11/00,,,1,2,I,20221114,,
1198100008,3,20220430,2020030018912,해설집,20030616,B42D15/00,,,1,6,I,20221114,,
1198100008,4,20220430,1020030092428,학습서와 이의 편집방법,20031217,B42D1/009,,,1,12,I,20221114,,
1198100008,5,20220430,1020040021732,문제집의 제본방법 및 그에 의해 제본된 문제집,20040330,B42C9/0056,,,1,4,I,20221114,,
1198100008,6,20220430,1020040114147,악보 및 노래를 이용한 암기 학습 시스템 및 그 기록매체,20041228,G06Q50/20,,,1,1,I,20221114,,
1198100008,7,20220430,2020050004323,19단 곱셈표 인쇄물,20050217,G09B19/02,,,1,2,I,20221114,,
1198100008,8,20220430,2020050009541,색인표가 부착된 견본용 학습지,20050407,B42D1/007,,,1,5,I,20221114,,
1198100008,9,20220430,1020050029115,다수의 테마로 구성된 학습서,20050407,F41G3/2655,,,1,10,I,20221114,,
1198100008,10,20220430,2020050020276,유아용 학습 완구,20050712,G09B1/08,,,1,5,I,20221114,,
1100200009,1,20220429,2020050016001,토출양 조절캡,20050603,B65D47/14,,,1,6,I,20221114,,
1100200009,2,20220429,1020050119818,분리가 간편하고 보관이 용이한 당면의 제조 및 포장방법,20051208,A23L3/36,,,1,1,I,20221114,,
1100200009,3,20220429,2020060007980,용기 수납용 포장체,20060325,B65D81/133,,,2,6,I,20221114,,
1100200009,4,20220429,1020060027646,코엔자임 10의 생산성이 우수한 변이주 및 코엔자임10의 생산방법,20060327,C12N1/20,,1,5,5,I,20221114,,
1100200009,5,20220429,1020060033753,생분해성 전분을 주원료로 하는 용기조성물 및 그 제조방법,20060413,C08L3/02,,,5,15,I,20221114,,
1100200009,6,20220429,1020060039953,오메가3 불포화 지방산을 생산하는 균주 및 이를 이용한오메가3 불포화 지방산의 제조방법,20060503,C12N1/20,,,7,7,I,20221114,,
1100200009,7,20220429,2020060015236,쇼핑백,20060607,A45C3/04,,,1,5,I,20221114,,
1100200009,8,20220429,1020060065624,"뉴로스포라 크라사 유래의 부티로베타인 히드록실라제,그의 유전자, 및 이를 이용한 카르니틴의 제조방법",20060713,C12N9/2497,,,2,2,I,20221114,,
1100200009,9,20220429,2020060020213,조미료 용기,20060726,A47G19/24,,,2,4,I,20221114,,
1100200009,10,20220429,1020060071189,키토산과 알긴산을 포함하는 기능성 당면,20060728,A23L7/109,1,,2,2,I,20221114,,
1388200010,1,20220512,,,,,,,,,I,20221114,,
1148100011,1,20220430,1019950049779,대중 교통 안내 시스템,19951214,,,,1,20,I,20221114,,
1148100011,2,20220430,1019960003326,노상단말기 표시장치,19960212,,,,2,6,I,20221114,,
1148100011,3,20220430,1019960003327,대중교통용 안내단말기,19960212,,,,2,5,I,20221114,,
1148100011,4,20220430,1019960015894,안내 단말기,19960514,,,,5,4,I,20221114,,
1148100011,5,20220430,1019960015895,운행 정보 단말기,19960514,,,,3,6,I,20221114,,
1148100011,6,20220430,1019960016203,지역중계 라디오방송을 이용한 교통정보안내 시스템,19960515,H04H20/55,,,6,5,I,20221114,,
1148100011,7,20220430,2019960019803,차량인식용 바코드 시스템에 있어서 바코드 및 바코드 리더기의 위치,19960704,,,,3,4,I,20221114,,
1148100011,8,20220430,1019980014802,씨티2를 이용한 차량위치추적과 교통정보 생성제공하는 방법 및 그 장치,19980425,,,,5,5,I,20221114,,
1148100011,9,20220430,1019980022634,셀단위망구조의이동통신망을이용한지역교통정보서비스방법및시스템,19980617,G06Q50/30,,1,3,2,I,20221114,,
1148100011,10,20220430,1019980027705,무선 데이터 통신과 단문 메시지 서비스 통신을 이용한 이중채널 통신 시스템,19980709,H04W4/14,,,4,6,I,20221114,,
3148200012,1,20220520,,,,,,,,,I,20221114,,
1231200013,1,20220501,1020010032269,야채포장방법,20010609,B65B25/041,,,1,1,I,20221114,,
1231200013,2,20220501,1020100069155,전자결제 서버 및 본인 인증 방법,20100716,G06Q20/3825,,1,1,21,I,20221114,,
1231200013,3,20220501,1020100107718,고유키 값을 이용한 간편 결제 방법 및 그 장치,20101101,G06Q20/12,,,6,7,I,20221114,,
1231200013,4,20220501,1020110019894,범용 간편 결제 방법 및 그 장치,20110307,G06Q20/4014,,3,6,5,I,20221114,,
1231200013,5,20220501,1020120039558,사용자단말기를 이용한 전자영수증 관리시스템 및 그 방법,20120417,G06Q20/12,,1,4,6,I,20221114,,
1231200013,6,20220501,20120133996,푸드 코트 서비스 시스템 및 그 방법,20121123,G06Q50/12,,4,2,16,I,20221114,,
1231200013,7,20220501,1020140164685,자동화 조경기계,20141124,A01G3/0435,,,2,1,I,20221114,,
3178100014,1,20220520,1020200058090,지중 관로용 도통 측정기,20200515,G01B11/10,3,,3,6,I,20221114,,
1270100015,1,20220502,2020030007546,테이퍼형 중공 프리캐스트 콘크리트 패널,20030313,E04B2/06,,,1,2,I,20221114,,
1270100015,2,20220502,1020030021223,건축물의 보수재 또는 마감재용 폴리머 시멘트 모르터조성물,20030404,E02B5/085,,,5,1,I,20221114,,
1270100015,3,20220502,1020030031356,피에스씨거더교의 시공방법,20030516,E01D2/02,2,3,1,4,I,20221114,,
1270100015,4,20220502,1020030032630,성토재 포설용 가동식 회전판 분사장치이를 구비한주행식 포설장치 및 주행식 포설장치를 이용한 성토방법,20030522,E02D3/123,,,2,5,I,20221114,,
1270100015,5,20220502,1020030035701,고온의 공기를 이용한 토양 오염 정화장치 및 정화방법,20030603,B09C1/06,,,7,3,I,20221114,,
1270100015,6,20220502,1020030036823,프리캐스트 바닥판과 프리스트레스트 콘크리트 거더와의연결구조 및 그 연결시공방법,20030609,E01D19/125,,,8,3,I,20221114,,
1270100015,7,20220502,1020030037098,프리캐스트 바닥판과 프리스트레스트 콘크리트 거더와의연결구조 및 그 연결시공방법,20030610,E01D19/125,,,8,6,I,20221114,,
1270100015,8,20220502,1020030042562,슬래그 균질화용 용융로,20030627,F23G5/14,,,5,3,I,20221114,,
1270100015,9,20220502,1020030043546,고온 반응기의 수냉 자켓,20030630,F23G5/44,,,7,2,I,20221114,,
1270100015,10,20220502,1020030043547,가스화 용융로,20030630,F23G5/0273,,,6,3,I,20221114,,
1140300016,1,20220430,1020160083035,차량용 램프,20160630,F21S41/00,,,3,9,I,20221114,,
1140300016,2,20220430,1020160082801,차량용 변속 장치,20160630,B60K20/02,1,,2,19,I,20221114,,
1140300016,3,20220430,2020160003988,차량 워싱장치용 리저버 탱크,20160711,B60S1/50,1,,1,9,I,20221114,,
1140300016,4,20220430,1020160089101,차량용 램프 및 그 조립 방법,20160714,B60Q1/0408,,,3,11,I,20221114,,
1140300016,5,20220430,1020160095687,자동 체결 커넥터,20160727,H01R13/629,,,6,4,I,20221114,,
1140300016,6,20220430,1020160096697,차량용 램프,20160729,F21S48/00,2,,2,11,I,20221114,,
1140300016,7,20220430,1020160097197,차량용 변속 레버의 조명 장치,20160729,B60Q1/52,,,4,20,I,20221114,,
1140300016,8,20220430,2020160004810,차량용 램프,20160819,F21S48/1241,1,,2,7,I,20221114,,
1140300016,9,20220430,1020160105532,차량용 램프 회로 토폴리지,20160819,H05B33/0815,,,2,20,I,20221114,,
1140300016,10,20220430,1020160111595,차량용 변속 장치 및 그 조립 방법,20160831,B29C45/14,,,3,9,I,20221114,,
1168100017,1,20220430,2019910005655,문자발생 장치의 데이터 출력제어회로,19910423,H03K19/1737,,,1,2,I,20221114,,
1168100017,2,20220430,1019910006592,보더 발생회로,19910424,H04N7/08,,,1,5,I,20221114,,
1168100017,3,20220430,1019910009313,문자 드로우잉 방법,19910605,H04N7/08,,,1,2,I,20221114,,
1168100017,4,20220430,1019920024357,정전시에도 예약녹화 데이타를 보존하는 예약녹화장치,19921215,G11B27/02,,,3,1,I,20221114,,
1168100017,5,20220430,1019920024356,시각표시장치,19921215,H04N7/087,,,3,3,I,20221114,,
1168100017,6,20220430,1019920024359,방송 프로그램의 식별 기호 부여 방법과 이를 이용한 예약 녹화 방법,19921215,G11B27/02,,,3,6,I,20221114,,
1168100017,7,20220430,1019920024360,방송 프로그램 식별 기호 부여 방법과 이를 이용한 예약 녹화 방법,19921215,G11B27/02,,,3,7,I,20221114,,
1168100017,8,20220430,1019920024358,프로그램 식별기호id에 의한 예약녹화 설정방법,19921215,G11B27/02,,,3,6,I,20221114,,
1168100017,9,20220430,1019920024355,연속 예약 녹화 방법,19921215,G11B27/02,,,3,2,I,20221114,,
1168100017,10,20220430,1019930026159,문자다중수신기의 데이타 슬라이싱값 보정회로,19931130,,,,1,3,I,20221114,,
6218100018,1,20220529,1020030049999,소듐알루미네이트 용액으로부터 부유성 고형물을 여과하는방법,20030722,C01F7/04,,,4,11,I,20221114,,
6218100018,2,20220529,2020030026977,탈부착이 용이한 인라인 스케이트,20030819,A63C17/06,,,1,2,I,20221114,,
6218100018,3,20220529,1020030087469,다공성의 알칼리성 헤마타이트 물질을 제조하는 방법 및 이를 이용한 수처리 방법,20031204,B01J20/08,,,4,6,I,20221114,,
6218100018,4,20220529,1020040000516,해양구조물의 전극봉 식별 시스템 및 전극봉,20040106,B63B59/04,,,1,8,I,20221114,,
6218100018,5,20220529,1020040013152,해양구조물의 전극봉 식별 시스템,20040226,B63B59/04,3,2,1,5,I,20221114,,
6218100018,6,20220529,1020050000520,선체 전기 방식 시스템,20050104,B65D90/026,,,1,5,I,20221114,,
6218100018,7,20220529,1020050060545,해양 생물 부착 방지 장치,20050706,A01M21/046,,,3,6,I,20221114,,
6218100018,8,20220529,1020050111531,절연재질로 이루어진 전극봉 고정부를 구비한 방오 또는방식 장치,20051122,C23F13/06,1,1,1,3,I,20221114,,
6218100018,9,20220529,1020060133029,지반 그라우트용 무기계 급결재 및 그 제조방법,20061222,C09K17/02,,,1,4,I,20221114,,
6218100018,10,20220529,1020070023408,초미립 수산화알루미늄 제조 방법,20070309,C01F7/18,,,7,6,I,20221114,,
1048600019,1,20220513,1020140122189,복합 인증 서비스 제공 방법 및 이를 위한 장치,20140915,,1,,1,6,I,20221114,,
1048600019,2,20220513,1020140125242,"광고 제공 시스템 및 그 방법, 그리고 이에 적용되는 장치",20140919,G06Q30/0264,,,1,19,I,20221114,,
1048600019,3,20220513,1020140125698,"단말과 서버, 그를 포함하는 시스템, 그 제어 방법 및 컴퓨터 프로그램이 기록된 기록매체",20140922,H04N21/254,1,,2,5,I,20221114,,
1048600019,4,20220513,1020140125699,단말과 그의 제어 방법 및 컴퓨터 프로그램이 기록된 기록매체,20140922,G06Q30/0241,,,2,8,I,20221114,,
1048600019,5,20220513,1020140126937,"광고 제공 시스템 및 그 방법, 그리고 이에 적용되는 장치",20140923,G06Q30/02,,,1,13,I,20221114,,
1048600019,6,20220513,1020140129233,"제휴사 포인트 거래 시스템 및 그 방법, 그리고 이에 적용되는 서버",20140926,G06Q30/0208,1,,2,6,I,20221114,,
1048600019,7,20220513,1020140129269,"포인트 통합 관리 장치, 시스템 및 방법",20140926,G06Q30/0229,1,,2,4,I,20221114,,
1048600019,8,20220513,1020140133424,"사용자 장치, 이의 제어 방법 및 컴퓨터 프로그램이 기록된 기록매체",20141002,G06Q30/0261,,,2,10,I,20221114,,
1048600019,9,20220513,1020140133177,"클라우드 스트리밍 서비스 시스템, 최적 gpu를 이용한 클라우드 스트리밍 서비스 방법 및 이를 위한 장치",20141002,H04L65/607,8,2,2,4,I,20221114,,
1048600019,10,20220513,1020140133176,"클라우드 스트리밍 서비스 시스템, 선택적 인코딩 처리 유닛을 이용한 클라우드 스트리밍 서비스 방법 및 이를 위한 장치",20141002,H04N21/23418,1,,2,3,I,20221114,,
6168100020,1,20220529,1020130084797,프리런 구간이 요구되지 않는 양 방향 기준 체적관,20130718,G01F25/00,,,2,3,I,20221114,,
6168100020,2,20220529,20130086810,베어링 결함 진단 시스템 및 그 진단 방법,20130723,G01M13/045,2,1,1,5,I,20221114,,
6168100020,3,20220529,2020130006269,오토 커플러 장치,20130726,C21C1/06,1,,3,3,I,20221114,,
6168100020,4,20220529,1020130093818,슬래그 유출 방지 장치 및 여기에 사용되는 고압가스 분사 랜스,20130807,B22D43/001,2,,2,8,I,20221114,,
6168100020,5,20220529,1020130095917,임펠러 성능 평가 장치 및 평가 방법,20130813,B01F35/212,2,,1,10,I,20221114,,
6168100020,6,20220529,1020130106070,위상 지연과 데이터 분포 형상지수를 이용한 베어링 결함 진단 시스템 및 그 진단 방법,20130904,G01M13/045,,,1,4,I,20221114,,
6168100020,7,20220529,20130107860,용선 탈류 설비의 회전형 인젝션 랜스 장치,20130909,C21C1/06,,,4,3,I,20221114,,
6168100020,8,20220529,2020130007559,용선작업용 슬래그 스키머 자동 체결 및 분리장치,20130909,B22D43/005,2,,4,5,I,20221114,,
6168100020,9,20220529,2020130007832,전기방식용  튜블러전극,20130923,C23F13/10,4,1,1,6,I,20221114,,
6168100020,10,20220529,2020130007900,냉각성능을 향상시킨 제어봉 구동장치용 코일 조립체,20130924,G21C7/12,3,,1,4,I,20221114,,
5118100021,1,20220526,1020130084797,프리런 구간이 요구되지 않는 양 방향 기준 체적관,20130718,G01F25/00,,,2,3,I,20221114,,
5118100021,2,20220526,20130086810,베어링 결함 진단 시스템 및 그 진단 방법,20130723,G01M13/045,2,1,1,5,I,20221114,,
5118100021,3,20220526,2020130006269,오토 커플러 장치,20130726,C21C1/06,1,,3,3,I,20221114,,
5118100021,4,20220526,1020130093818,슬래그 유출 방지 장치 및 여기에 사용되는 고압가스 분사 랜스,20130807,B22D43/001,2,,2,8,I,20221114,,
5118100021,5,20220526,1020130095917,임펠러 성능 평가 장치 및 평가 방법,20130813,B01F35/212,2,,1,10,I,20221114,,
5118100021,6,20220526,1020130106070,위상 지연과 데이터 분포 형상지수를 이용한 베어링 결함 진단 시스템 및 그 진단 방법,20130904,G01M13/045,,,1,4,I,20221114,,
5118100021,7,20220526,20130107860,용선 탈류 설비의 회전형 인젝션 랜스 장치,20130909,C21C1/06,,,4,3,I,20221114,,
5118100021,8,20220526,2020130007559,용선작업용 슬래그 스키머 자동 체결 및 분리장치,20130909,B22D43/005,2,,4,5,I,20221114,,
5118100021,9,20220526,2020130007832,전기방식용  튜블러전극,20130923,C23F13/10,4,1,1,6,I,20221114,,
5118100021,10,20220526,2020130007900,냉각성능을 향상시킨 제어봉 구동장치용 코일 조립체,20130924,G21C7/12,3,,1,4,I,20221114,,
8878800022,1,20220603,1020130084797,프리런 구간이 요구되지 않는 양 방향 기준 체적관,20130718,G01F25/00,,,2,3,I,20221114,,
8878800022,2,20220603,20130086810,베어링 결함 진단 시스템 및 그 진단 방법,20130723,G01M13/045,2,1,1,5,I,20221114,,
8878800022,3,20220603,2020130006269,오토 커플러 장치,20130726,C21C1/06,1,,3,3,I,20221114,,
8878800022,4,20220603,1020130093818,슬래그 유출 방지 장치 및 여기에 사용되는 고압가스 분사 랜스,20130807,B22D43/001,2,,2,8,I,20221114,,
8878800022,5,20220603,1020130095917,임펠러 성능 평가 장치 및 평가 방법,20130813,B01F35/212,2,,1,10,I,20221114,,
8878800022,6,20220603,1020130106070,위상 지연과 데이터 분포 형상지수를 이용한 베어링 결함 진단 시스템 및 그 진단 방법,20130904,G01M13/045,,,1,4,I,20221114,,
8878800022,7,20220603,20130107860,용선 탈류 설비의 회전형 인젝션 랜스 장치,20130909,C21C1/06,,,4,3,I,20221114,,
8878800022,8,20220603,2020130007559,용선작업용 슬래그 스키머 자동 체결 및 분리장치,20130909,B22D43/005,2,,4,5,I,20221114,,
8878800022,9,20220603,2020130007832,전기방식용  튜블러전극,20130923,C23F13/10,4,1,1,6,I,20221114,,
8878800022,10,20220603,2020130007900,냉각성능을 향상시킨 제어봉 구동장치용 코일 조립체,20130924,G21C7/12,3,,1,4,I,20221114,,
4268700023,1,20220524,1020130084797,프리런 구간이 요구되지 않는 양 방향 기준 체적관,20130718,G01F25/00,,,2,3,I,20221114,,
4268700023,2,20220524,20130086810,베어링 결함 진단 시스템 및 그 진단 방법,20130723,G01M13/045,2,1,1,5,I,20221114,,
4268700023,3,20220524,2020130006269,오토 커플러 장치,20130726,C21C1/06,1,,3,3,I,20221114,,
4268700023,4,20220524,1020130093818,슬래그 유출 방지 장치 및 여기에 사용되는 고압가스 분사 랜스,20130807,B22D43/001,2,,2,8,I,20221114,,
4268700023,5,20220524,1020130095917,임펠러 성능 평가 장치 및 평가 방법,20130813,B01F35/212,2,,1,10,I,20221114,,
4268700023,6,20220524,1020130106070,위상 지연과 데이터 분포 형상지수를 이용한 베어링 결함 진단 시스템 및 그 진단 방법,20130904,G01M13/045,,,1,4,I,20221114,,
4268700023,7,20220524,20130107860,용선 탈류 설비의 회전형 인젝션 랜스 장치,20130909,C21C1/06,,,4,3,I,20221114,,
4268700023,8,20220524,2020130007559,용선작업용 슬래그 스키머 자동 체결 및 분리장치,20130909,B22D43/005,2,,4,5,I,20221114,,
4268700023,9,20220524,2020130007832,전기방식용  튜블러전극,20130923,C23F13/10,4,1,1,6,I,20221114,,
4268700023,10,20220524,2020130007900,냉각성능을 향상시킨 제어봉 구동장치용 코일 조립체,20130924,G21C7/12,3,,1,4,I,20221114,,
1282200024,1,20220502,2020080004289,펜슬형 화장품용기,20080401,A45D40/20,2,,1,1,I,20221114,,
1282200024,2,20220502,1020080030552,피부 노화 방지용 화장료 조성물,20080402,A61K8/9789,,,2,4,I,20221114,,
1282200024,3,20220502,1020080030969,"연잎, 지부자, 지골피 추출물로 구성되는 천연항균복합체를 함유하는 화장료 조성물",20080402,A61K8/9789,,,3,3,I,20221114,,
1282200024,4,20220502,1020080030550,모공 축소용 화장료 조성물,20080402,A61K8/9789,,1,3,6,I,20221114,,
1282200024,5,20220502,1020080030549,모공 축소용 화장료 조성물,20080402,A61K8/9789,,1,3,2,I,20221114,,
1282200024,6,20220502,1020080043127,오이풀 추출물을 함유하는 피부 보습용 화장료 조성물 및 그 제조방법,20080509,A61K8/9789,,4,3,6,I,20221114,,
