,사업자등록번호,데이터수집일자,기업명,기업영문명,대표자명,종업원수,종업원수기준년월,산업분류코드,산업분류코드설명,기업규모,기업형태,업태명,설립일,이메일주소,전화번호,팩스전화번호,우편번호,주소,상세주보,휴폐업구분,상태발생일자,휴폐업수정일,CRI등급,CRI기준일,결산일자,매출액,영업이익,자본총계금액,부채총계금액,자산총계금액,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
10,1010607727,20220107,큐브다**,Cube Da E ***,고**,1.0,2016-05,75992,"전시, 컨벤션 및 행사 대행업",중소기업,일반,"도,소매",,,0264055116,,04043,서울 마포구 잔다리로,"33, 3층 303호 (서교동,회산빌딩)",,,,C3,20211231,20191231,370418.0,40593.0,18284.0,184275.0,202559.0,I,20221104,,
11,1018109849,20220107,예간종합건설***,"Yegan Construction Co.,L***",강영수외***,5.0,2019-03,41121,사무·상업용 및 공공기관용 건물 건설업,중소기업,일반,건설업,20000930,lgw1224@empal.com,02  34612125,02  34612127,04209,서울특별시 마포구 만리재로 43,"4층 (신공덕동,근영빌딩)",폐업취소,,20200731,B1,20211231,20201231,7194100.0,111218.0,2277537.0,1269108.0,3546646.0,I,20221104,,
12,1018100845,20220107,(주)오마***,ohmyn***,오**,107.0,2020-08,63910,뉴스 제공업,중소기업,일반,서비스/소매/제조,20000222,ohmynews@ohmynews.com,02-733-5505,02-733-5077,04003,서울특별시 마포구 월드컵로14길 42-5,(서교동),,,,C1,20211231,20191231,8641907.0,56131.0,3353359.0,4872967.0,8226327.0,I,20221104,,
13,1018606202,20220107,(주)오십일***,"Eric＇s Factory Co., L***",김**,10.0,2021-04,71310,광고 대행업,중소기업,일반,도소매/서비스/정보통신업,20140827,sjyoun@univ.me,02-735-9510,02-735-0005,04156,서울 마포구 독막로 331,"(도화동,마스터즈타워빌딩)",,,,C2,20211231,20201231,4196417.0,-384491.0,76173.0,1531038.0,1607211.0,I,20221104,,
14,1050707660,20220107,이**,E Jaey***,이**,0.0,2016-05,68111,주거용 건물 임대업,중소기업,일반,부동산,,,,,04054,서울 마포구 와우산로25길,7 (서교동),,,,C2,20211231,,,,,,,I,20221104,,
15,1050905695,20220107,파**,PAICOM ***,이**,,,,,중소기업,일반,서비스,20090901,,,02-715-3705,04153,서울특별시 마포구 독막로,"266, 15/8 104동 1610호 (대흥동,태영아파트)",,,,C2,20211231,,,,,,,I,20221104,,
16,7912209314,20211228,세*,Se**,김**,,,47312,통신기기 소매업,중소기업,일반,도매,,,,,,,,,,,C3,20211215,,,,,,,I,20221104,,
17,1101904548,20211228,한**,Hanwoo***,한**,,,47312,통신기기 소매업,중소기업,일반,도소매,,,,,,,,,,,C2,20211215,,,,,,,I,20221104,,
18,6538602141,20211228,(주)강***,"Kanglim Electronics Co., L***",김**,9.0,2021-03,26299,그 외 기타 전자부품 제조업,중소기업,일반,도소매업/제조업,20180801,,055-296-9467,055-296-0233,51201,경남 창원시 의창구 의창대로299번길 7,(소답동),,,,B2,20211215,20201231,1978944.0,87600.0,316645.0,1242347.0,1558992.0,I,20221104,,
19,2748206879,20211228,지파운데이션사회적협***,G Foundation Social Cooperat***,박**,40.0,2021-01,46419,기타 생활용 섬유 및 직물제품 도매업,기타(비영리법인),일반,도매 및 소매업/서비스/서비스 외/임대업,20160705,admin@gfound.org,02-6335-0100,02-6335-0110,03992,서울특별시 마포구 월드컵북로6길 30,"3층 (동교동,신원빌딩)",,,,A3,20211215,20191231,352463.0,95737.0,70904.0,50975.0,121880.0,I,20221104,,
20,1068100064,20211228,제페토***,"Zepetto Co., L***",김**,72.0,2020-12,58219,기타 게임 소프트웨어 개발 및 공급업,중소기업,외감,"도, 소매 서비스",19991105,gamemaster@zepetto.com,02  34445474,02  32735474,04167,서울특별시 마포구 마포대로 45,"6층 (도화동,일진빌딩)",휴업취소,,20200731,A2,20211215,20201231,8154001.0,37427.0,20813132.0,539704.0,21352836.0,I,20221104,,
21,5618600292,20211228,(주)하***,hivvlab ***,김**,4.0,2019-03,58222,응용 소프트웨어 개발 및 공급업,중소기업,일반,,20160127,, 07041236182,050-4462-6182,14057,경기도 안양시 동안구 벌말로 126,"21층 2116호 (관양동,평촌오비즈타워)",,,,C3,20211215,20201231,248520.0,-69553.0,-160551.0,280037.0,119486.0,I,20221104,,
22,1058107318,20211228,공덕개발***,"Kongduk Development Co.,L***",최**,2.0,2020-12,68112,비주거용 건물 임대업,대기업,외감,부동산업,19921221,Kongduk@hyosung.co.kr,02  707 6931,02  707 6935,04144,서울특별시 마포구 마포대로 119,(공덕동),,,,A2,20211215,20201231,10929312.0,4103777.0,87536787.0,84128096.0,171664883.0,I,20221104,,
23,2068207478,20211228,(사)한국게임개발***,kg**,정**,9.0,2021-04,94900,기타 협회 및 단체,기타(비영리법인),일반,광고업/서비스,20030701,webmaster@kgda.or.kr,02-6941-2781,0504-282-5246,03909,서울 마포구 매봉산로 31,"8층 (상암동,S-PLEXCENTER 시너지움)",,,,B3,20211215,20201231,496346.0,-557992.0,-68196.0,269173.0,200978.0,I,20221104,,
24,2188105332,20211228,(주)**,"TOV Co., L***",송**,8.0,2021-01,62021,컴퓨터시스템 통합 자문 및 구축 서비스업,중소기업,일반,도매/도매 및 소매업/도소매/서비스,20150901,,02-325-0560,02-325-0561,03992,서울특별시 마포구 동교로23길 36,"2층 (동교동,리앤리빌딩)",,,,B3,20211215,20191231,891906.0,33391.0,307567.0,502716.0,810283.0,I,20221104,,
25,2018104392,20211228,(주)에스제이코퍼***,S.J. Corporat***,우**,5.0,2019-03,13213,화학섬유 직물직조업,중소기업,일반,"도매/부동산업 및 임대업/제조/출판, 영상, 방송통신 및 정보서비스업",20000622,sjwoo@sjcorporation.com,02-757-4071,02-757-4072,04018,서울특별시 마포구 월드컵로 61,"3층 (망원동,삼미빌딩)",,,,B2,20211215,20201231,4303217.0,284.0,1093792.0,1514612.0,2608403.0,I,20221104,,
26,1058704871,20211228,(주)플레이***,PLAY COMPANY L***,조**,22.0,2019-12,59114,방송 프로그램 제작업,중소기업,외감,서비스,20120601,cho0123@gmail.com,070 88506621,02 3260882,03925,서울특별시 마포구 월드컵북로 396,"20층 (상암동,누리꿈스퀘어빌딩에이동비즈니스타워)",,,,A2,20211215,20201231,72142398.0,8385105.0,18411717.0,17476550.0,35888267.0,I,20221104,,
27,3789008729,20211228,그림포스미***,Geurim Pos Art Instit***,백**,,,85500,일반 교습 학원,중소기업,일반,서비스업,,,010-5295-7903,,03992,서울 마포구 동교로,"177-1, 2층 (동교동,동교동빌딩)",,,,C2,20211215,20191231,125797.0,13994.0,26134.0,0.0,26134.0,I,20221104,,
28,1233601439,20211228,모*,M**,김**,,,26400,통신 및 방송 장비 제조업,중소기업,일반,제조업,,,,,,,,,,,C3,20211215,,,,,,,I,20221104,,
29,8141204758,20211228,블루모**,Blue Mob***,유**,,,47312,통신기기 소매업,중소기업,일반,도매및소매업,,,,,18114,경기 오산시 내삼미로 89,(수청동),,,,C3,20211215,,,,,,,I,20221104,,
30,1118109140,20211228,(주)현우콘트***,HYUN WOO CONTROL TECH.CO.L***,이돈희외 ***,8.0,2020-07,42202,건물용 기계·장비 설치 공사업,중소기업,일반,건설업/제조,19920326,hwc4522@hanmail.net,02 3478 8706,02 3478 8709,04162,서울 마포구 대흥로4길 49,"4층 (용강동,월명빌딩)",,,,B2,20211215,20191231,3956945.0,306362.0,2871626.0,523443.0,3395068.0,I,20221104,,
31,1058700765,20211228,(주)크레이드인터***,Krade Internatio***,이**,38.0,2020-07,46800,상품 종합 도매업,중소기업,일반,서비스,20130201,tax@kradeintl.com,07088461308,0260086054,04045,서울특별시 마포구 양화로 64,"5층 501호 (서교동,서교제일빌딩)",,,,C3,20211215,20191231,4021660.0,126220.0,565059.0,1419655.0,1984714.0,I,20221104,,
32,1223201117,20211228,오르다***,ORDA KO***,이**,,,,,중소기업,일반,,,,02  717 8853,,04012,서울특별시 마포구 월드컵로,"87, 7층 (망원동,로얄프라자)",,,,C3,20211215,,,,,,,I,20221104,,
33,5148705170,20211228,(주)비케이패밀리어른이***,"BK Family Eoreunidae Park Co., L***",김**,0.0,2017-12,56110,한식 음식점업,중소기업,일반,음식,20170725,,02  333 3338,,04048,서울 마포구 양화로6길,"100, 1층 (합정동)",,,,C3,20211215,20191231,956751.0,121125.0,1417206.0,718968.0,2136174.0,I,20221104,,
34,1308702348,20211228,(주)피플***,"People Ventures Co., L***",현**,11.0,2019-03,58000,출판업,중소기업,일반,서비스업,20141107,,070 40488787,,03911,서울특별시 마포구 매봉산로,"18, 508호 (상암동,마포비즈니스센터)",,,,C3,20211215,20181231,4633560.0,1211206.0,2870591.0,998511.0,3869101.0,I,20221104,,
35,8808700839,20211228,효성티앤씨***,Hyosung TNC Corporat***,김**,1549.0,2021-09,20500,화학섬유 제조업,대기업,거래소상장,,20180604,,02  707 7000,,04144,서울 마포구 마포대로 119,(공덕동),,,,A2,20211215,20201231,3143280086.0,83305167.0,499412916.0,735787749.0,1235200665.0,I,20221104,,
36,1608104528,20211228,(주)그린정보***,"GREEN INFORMATION SYATEM CO.KR Co., L***",이**,7.0,2021-12,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/소매/임대/정보통신업,20180109,,02-722-3211,02-723-3211,04057,서울 마포구 신촌로12다길 20,"1층 (노고산동,스테이하이오피스텔)",,,,B2,20211215,20201231,3308391.0,-51813.0,531711.0,793768.0,1325479.0,I,20221104,,
37,1051600556,20211228,우*,Uj**,정**,,,47420,"섬유, 직물 및 의복액세서리 소매업",중소기업,일반,도소매업,,,02  309 3872,,03944,서울특별시 마포구 성암로7길,"3, 201동 1405호 (중동,성산2차현대아파트)",,,,C2,20211215,,,,,,,I,20221104,,
38,1348701081,20211228,(주)마***,"Marshique, I***",은**,4.0,2020-04,20423,화장품 제조업,중소기업,일반,제조업,20130612,lnchul.roh@marshique.com,070 07805834,070-7554-5834,04147,서울 마포구 백범로31길 21,"별관 309호 (공덕동,서울창업허브)",,,,C2,20211215,20201231,591475.0,-272845.0,193615.0,422259.0,615874.0,I,20221104,,
39,5398708606,20211228,(주)***,"B Roso Co., L***",김**,,,10791,커피 가공업,중소기업,일반,건설/도소매/소매/제조,20190705,,02-712-9030,,04096,서울특별시 마포구 광성로6길,"42, 1층 (신수동)",,,,B3,20211215,20201231,388395.0,72014.0,73090.0,248275.0,321366.0,I,20221104,,
40,3658102937,20211228,(주)차이코퍼***,Chai Corporat***,신**,58.0,2020-12,47919,기타 통신 판매업,중견기업,외감,서비스,20180913,,07043233689,07043343629,04783,서울 성동구 성수이로20길 16,"3층 (성수동2가,제이케이타워)",,,,B2,20211215,20201231,14234751.0,-41976542.0,29126011.0,34146949.0,63272960.0,I,20221104,,
41,7388709716,20211228,(주)세아정***,"SeA Info-communication Co., L***",오**,10.0,2020-12,42321,일반 통신 공사업,중소기업,일반,건설업/도소매(서비스)/서비스/정보통신업,20181019,,032-228-1000,032-228-1300,21344,인천 부평구 길주로 639,"5층 503호 (삼산동,현대아이프라자)",,,,C1,20211215,20201231,642955.0,47962.0,216043.0,54658.0,270701.0,I,20221104,,
42,5988802413,20211228,(주)에스비에스아***,"SBS I&M Co., L***",조**,60.0,2021-07,63991,데이터베이스 및 온라인정보 제공업,중견기업,외감,도소매/서비스/정보서비스업,20170801,,02-2001-6636,02-2001-6893,03926,서울특별시 마포구 상암산로 82,"14층 (상암동,에스비에스프리즘타워)",,,,B1,20211215,20201231,14686351.0,258026.0,12078194.0,2710434.0,14788628.0,I,20221104,,
43,1058809852,20211228,스마트미디어렙***,"SMART MEDIA REPRESENTATIVE CO.,L***",우**,21.0,2020-12,71310,광고 대행업,중견기업,외감,서비스,20140613,,02  63520088,02  64992186,03929,서울특별시 마포구 성암로 179,"12층 (상암동,한샘상암)",,,,A3,20211215,20201231,28796346.0,133934.0,14227732.0,25622997.0,39850729.0,I,20221104,,
44,1051609129,20211228,현*,Hyun***,양**,,,,,중소기업,일반,"건설,도소매",,,051  4698071,,04092,서울 마포구 신수로,"25-24, 402호 (구수동)",,,,C2,20211215,,,,,,,I,20221104,,
45,1968706970,20211228,(주)승용***,"Seungyong Company Co., L***",리**,4.0,2020-04,47310,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",중소기업,일반,도소매외,20180223,,070-4817-5042,,08378,서울 구로구 디지털로34길 43,"4층 6호 (구로동,코오롱싸이언스밸리1차)",,,,B1,20211215,20201231,6756372.0,177617.0,363076.0,214460.0,577535.0,I,20221104,,
46,2568100771,20211228,(주)셀***,SELLER-NOTE Co.L***,이**,5.0,2020-04,47911,전자상거래 소매 중개업,중소기업,일반,,20190530,,,0262807223,03187,서울 종로구 종로 6,"5층 스타트업빌리지 (서린동,광화문우체국)",,,,C2,20211215,,,,,,,I,20221104,,
47,5368103050,20211228,(주)브이에스***,"VS Company Co., L***",조**,7.0,2020-04,26410,유선 통신장비 제조업,중소기업,일반,,20190523,,,,10391,경기도 고양시 일산서구 킨텍스로 240,"407호 (대화동,킨텍스꿈에그린오피스)",,,,A3,20211215,20201231,2169729.0,194762.0,341197.0,410505.0,751702.0,I,20221104,,
48,3671700068,20211228,일*,Ils***,유**,,,,,중소기업,일반,서비스업,,,,,401041,인천 동구 송현로 50,"127동 704호 (송현동,솔빛주공1차127동)",,,,C2,20211215,,,,,,,I,20221104,,
49,8261900715,20211228,에**,A O**,윤**,,,,,중소기업,일반,도소매,,,,,44692,울산 남구 삼산로93번길 40,3층 309호 (달동),,,,C2,20211215,,,,,,,I,20221104,,
50,3350407245,20211228,원모**,Won Mob***,한**,1.0,2021-12,47312,통신기기 소매업,중소기업,일반,도소매,20180101,,010-5555-9987,051-363-1091,46519,부산 북구 금곡대로 469,(금곡동),,,,B3,20211225,20201231,182530.0,24356.0,51721.0,20118.0,71839.0,I,20221104,,
51,1050504300,20211228,폴**,"POLYTECH CO.,L***",현**,1.0,2008-07,46739,기타 화학물질 및 화학제품 도매업,중소기업,일반,"제조,도소매",20010401,,02  703 0733,02  712 4933,04158,서울 마포구 큰우물로,"75, 305호",,,,C2,20211215,,,,,,,I,20221104,,
52,1058103977,20211228,백상개발***,"Baeksang Development Co., L***",김**,7.0,2021-03,68119,기타 부동산 임대업,중소기업,일반,도매 및 소매업/부동산매매업/부동산업/서비스,19850122,account6@baeksang.co.kr,02-3270-7240,02-3270-7241,04158,서울 마포구 마포대로 49,"402호 (도화동,성우빌딩)",,,,A2,20211215,20201231,845509.0,159996.0,8813797.0,2790969.0,11604766.0,I,20221104,,
53,6958108070,20211228,(주)디포커스스***,"D Focus Studio Co., L***",이**,11.0,2020-04,59111,일반 영화 및 비디오물 제작업,중소기업,일반,컴퓨터그래픽 외,20161111,,07077111099,,07548,서울특별시 강서구 화곡로 416,"929호.930호.931호.932호 (등촌동,더스카이밸리5차)",,,,C2,20211215,20181231,884000.0,309000.0,462000.0,69000.0,531000.0,I,20221104,,
54,6228100218,20211228,한국이앤에스***,"E&S KOREA CO., L***",김**,4.0,2020-04,28909,그 외 기타 전기장비 제조업,중소기업,일반,도소매업/제조업,20180808,,07050893752,,10364,경기도 고양시 일산동구 고봉로 32-19,"703호 (장항동,남정씨티프라자7차)",,,,C1,20211215,20201231,259992.0,-31921.0,200033.0,468520.0,668553.0,I,20221104,,
55,2142907946,20211228,엠브**,M Bri***,김**,,,,,중소기업,일반,서비스,,,,,08505,서울 금천구 가산디지털2로,123 (가산동),,,,C2,20211215,,,,,,,I,20221104,,
56,6304104333,20211228,디프**,DPRI***,전**,,,47911,전자상거래 소매 중개업,중소기업,일반,소매,,luvkkk@naver.com,010-7424-8704,,07246,서울 영등포구 국회대로54길 10,"(영등포동7가,아크로타워 스퀘어)",,,,B2,20211215,20201231,590133.0,63615.0,169017.0,230361.0,399378.0,I,20221104,,
57,3148506198,20211228,서울신용평가정보***,Seoul Credit Rating & Informat***,임동훈외***,273.0,2019-12,73209,"패션, 섬유류 및 기타 전문 디자인업",중소기업,폐업,"서비스,금융",19981201,,042 479 3703,042 485 4777,04081,서울특별시 마포구 토정로,"144 (상수동,건양사빌딩)",폐업,20201031,20201031,D,20210113,20191231,48708533.0,6348609.0,23102554.0,7433512.0,30536066.0,I,20221104,,
58,8598701095,20211228,(주)***,"NANOONE CO., L***",허**,10.0,2020-04,26410,유선 통신장비 제조업,중소기업,일반,제조업,20190221,nano45@naver.com,032 6754845,032 5741746,22744,인천광역시 서구 호두산로94번길 23,"에이동,비동 (경서동)",,,,A3,20211215,20201231,1582682.0,179519.0,270716.0,924769.0,1195485.0,I,20221104,,
59,1094904053,20211228,아*,A**,신**,,,47910,통신 판매업,중소기업,일반,도매업?소매업,20190313,,,,12817,경기도 광주시 도척면 도척로774번길 15-34,2호 (유정리),,,,C3,20211218,,,,,,,I,20221104,,
60,3128106320,20211228,미래월드안전***,"MIRAE SAFETY CO.,L***",박**,11.0,2021-09,42311,일반전기 공사업,중소기업,일반,건설/건설업,20030310,backgs516@hanmail.net,02-375-6736,02-675-6737,04018,서울특별시 마포구 동교로 67-5,(망원동),,,,B2,20211215,20201231,8827237.0,426369.0,2806870.0,413896.0,3220765.0,I,20221104,,
61,3908701051,20211228,(주)벤타***,Benta***,전**,21.0,2019-03,70209,기타 인문 및 사회과학 연구개발업,중소기업,일반,서비스,20151215,s3d@ventavr.com,0221325554,0221325554,03925,서울 마포구 월드컵북로,"396, 1010호 (상암동,누리꿈스퀘어)",,,,C1,20211215,20181231,1602000.0,-255000.0,845000.0,244000.0,1089000.0,I,20221104,,
62,1058107992,20211228,이조케터링서비스***,"Leecho Catering Service Co.,L***",이**,146.0,2019-03,56130,기관 구내식당업,중소기업,일반,음식,19911130,,02  718 5151,02  718 1118,04157,서울 마포구 마포대로 63-8,"1364호 (도화동,삼창프라자빌딩)",,,,C1,20211215,20161231,13085770.0,-17111.0,1086107.0,1386014.0,2472121.0,I,20221104,,
63,2438701994,20211228,(주)지***,"G-cosmo co., l***",홍**,55.0,2020-12,46492,시계 및 귀금속제품 도매업,중소기업,외감,"기타, 시계",20170324,,0231430718,02-3143-0729,03987,서울 마포구 연남로3길 44,(연남동),,,,A2,20211215,20201231,18817151.0,-324876.0,11222624.0,1112843.0,12335467.0,I,20221104,,
64,1248708907,20211228,(주)***,"HUUST Co., L***",시**,282.0,2021-02,75310,경비 및 경호 서비스업,중소기업,외감,서비스,20130102,,031-225-3114,0234536818,04031,서울특별시 마포구 잔다리로 64,"4층 (서교동,육의당빌딩)",,,,B2,20211215,20201231,18279755.0,362108.0,1669825.0,4261462.0,5931287.0,I,20221104,,
65,3488704865,20211228,(주)와이에***,"YS Enterprise Co., L***",김**,3.0,2020-04,42321,일반 통신 공사업,중소기업,일반,건설업/도소매/서비스/제조업,20180412,,0428240209,042-537-3397,27852,충청북도 진천군 덕산읍 용몽2길 5,(용몽리),,,,B2,20211215,20201231,1326010.0,410540.0,539567.0,131926.0,671493.0,I,20221104,,
66,5433705452,20211228,일신**,Ilshin T***,서**,,,28000,전기장비 제조업,중소기업,일반,제조업,,,,,,,,,,,C3,20211215,,,,,,,I,20221104,,
67,5298502574,20211228,롯데쇼핑(주)이커머스사***,,강**,16878.0,2019-12,47910,통신 판매업,대기업,거래소상장,도매/서비스/소매,20180801,,,,04548,서울특별시 중구 을지로,"158, 8층 (을지로4가,삼풍빌딩)",,,,A2,20211228,20191231,9695325161.0,271019741.0,10665641822.0,16298624511.0,26964266333.0,I,20221104,,
68,1118609772,20211228,(주)**,whowant c***,우**,3.0,2020-04,58222,응용 소프트웨어 개발 및 공급업,중소기업,일반,,20190110,,,,13493,경기도 성남시 분당구 판교역로 240,"509-2호, 509-1호 (삼평동,삼환하이펙스 에이동)",,,,C3,20211215,,,,,,,I,20221104,,
69,2398806715,20211228,(주)**,,안*,3.0,2020-04,15129,가방 및 기타 보호용 케이스 제조업,중소기업,폐업,,20190319,,032 8189997,032 8189998,21697,인천 남동구 능허대로649번길 172,(고잔동),폐업,20201118,20201118,D,20210113,,,,,,,I,20221104,,
70,5588701363,20211228,(주)티엔피***,"TnP Solution Co., L***",강**,3.0,2020-04,26410,유선 통신장비 제조업,중소기업,일반,건설업/도소매/서비스업/제조업,20190528,,031 3601547,031 5220547,15608,경기 안산시 단원구 별망로 352,에이동 (성곡동),,,,B1,20211215,20201231,1314396.0,202625.0,394678.0,393038.0,787716.0,I,20221104,,
71,2680108957,20211228,박**,Bak Gyeong***,박**,,,26400,통신 및 방송 장비 제조업,중소기업,일반,제조업,,,031 8582299,,11448,경기 양주시 칠봉산로168번길,"40-23, 1층 (봉양동)",,,,B3,20211215,20201231,656856.0,67493.0,62004.0,644770.0,706774.0,I,20221104,,
72,6814704972,20211228,맥솔**,Maek Solut***,신**,,,47312,통신기기 소매업,중소기업,일반,소매,,,,,53298,경상남도 거제시 문동1길,"42, 111동 1005호 (문동동,거제센트럴푸르지오)",,,,C3,20211215,,,,,,,I,20221104,,
73,4788107582,20211228,(주)제이에이***,"JH Tech Co., L***",윤**,5.0,2020-04,26400,통신 및 방송 장비 제조업,중소기업,일반,제조업,20190801,,032 4251855,,21686,인천 남동구 청능대로484번길,"20, 1층,2층 (고잔동)",,,,C3,20211215,,,,,,,I,20221104,,
74,5658603739,20211228,(주)디에스알인터***,"DSR INTERNATIONAL Co., L***",호**,5.0,2020-12,46522,통신·방송장비 및 부품 도매업,중소기업,폐업,통신·방송장비 및 부품 도매업,20180719,,042 5429998,,35386,대전광역시 서구 가수원로 72,"106동 504호 (가수원동,은아아파트1단지)",폐업,20211031,20211031,D,20211103,20201231,82128359.0,5061125.0,3513367.0,28706569.0,32219936.0,I,20221104,,
75,3248106694,20211228,(주)바론아***,"BARON ICT CO.,L***",안**,4.0,2020-04,61210,유선통신업,중소기업,일반,,20180720,,0313376661,031-337-6662,15608,경기도 안산시 단원구 별망로 336,(성곡동),,,,C2,20211215,,,,,,,I,20221104,,
76,8288109212,20211228,(주)에프***,"FT Bro Co., L***",이**,14.0,2020-04,46522,통신·방송장비 및 부품 도매업,중소기업,일반,,20181212,,02 9421010,05043695334,11725,경기도 의정부시 동일로 104,2층 (장암동),,,,C1,20211215,20191231,12058587.0,235583.0,113604.0,2116175.0,2229780.0,I,20221104,,
77,8528105963,20211228,(주)나***,"Now Inno Co., L***",황**,4.0,2021-04,26410,유선 통신장비 제조업,중소기업,일반,,20181217,,0546041695,054-465-1694,39376,경상북도 구미시 1공단로 212,"416호 (공단동,한라시그마밸리)",,,,C3,20211215,20191231,137032.0,85562.0,189037.0,51459.0,240497.0,I,20221104,,
78,8088806555,20211228,(주)희***,"Heesung Industry Co., L***",박**,4.0,2020-04,26410,유선 통신장비 제조업,중소기업,일반,,20190307,,042 3350530,042 5420530,35396,대전 서구 계백로1286번길,"83, 1층 (정림동)",,,,C3,20211215,20191231,1229126.0,191384.0,203056.0,330075.0,533131.0,I,20221104,,
79,1082301973,20211228,제이**,J*,박**,,,46000,도매 및 상품 중개업,중소기업,휴업,도매 및 소매업,,,,,18136,경기 오산시 성호대로,67 (오산동),휴업,,20210708,C3,20210709,,,,,,,I,20221104,,
80,8392808514,20211228,두*,Du T***,김**,,,47310,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",중소기업,일반,도소매 외,20190514,,051-715-2889,051-928-2889,47835,부산 동래구 중앙대로1267번길,"77, 1층 (사직동)",,,,B1,20211215,20200630,265707.0,46279.0,78521.0,23883.0,102405.0,I,20221104,,
81,8051704942,20211228,에**,S*,신**,,,47910,통신 판매업,중소기업,일반,소매업,,,,,54666,전북 익산시 학곤로,"154-7, 106동 208호 (송학동,송학지안리즈)",,,,C3,20211215,,,,,,,I,20221104,,
