,사업자등록번호,데이터수집일자,기업명,대표자명,전화번호,팩스전화번호,우편번호,주소,상세주소,기업형태,기업규모,공기업구분,산업분류코드,산업분류코드설명,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
60,6568105494,20211228,(주)스***,엄**,0439021876,,28477,충북 청주시 흥덕구 1순환로549번길 35-2,(봉명동),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
61,1128104294,20211228,(주)***,임**,03180919361,03180919360,14118,경기 안양시 동안구 엘에스로 122,"907호 (호계동,호계데시앙플렉스)",일반,중소기업,일반기업,42491,"미장, 타일 및 방수 공사업",I,20221104,,
62,6748708326,20211228,제이디종합건설***,최**,031 9197751,031 9467751,10900,경기도 파주시 산내로7번길 25-12,102호 (목동동),일반,중소기업,일반기업,41229,기타 토목 시설물 건설업,I,20221104,,
63,3408806738,20211228,(주)아***,이**,0425859513,042-718-9342,34027,대전광역시 유성구 테크노2로 240,9동 2-2 (탑립동),일반,중소기업,일반기업,33999,그 외 기타 달리 분류되지 않은 제품 제조업,I,20221104,,
64,5158700941,20211228,원창이앤씨***,한**,032-567-7671,032-746-4124,22770,인천광역시 서구 파랑로 495,"2동 801호 (청라동,에이스하이테크시티청라)",일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
65,2118107654,20211228,(주)케이씨***,김**,02-772-5800,02  21170609,06246,서울특별시 강남구 역삼로19길 3,(역삼동),일반,중소기업,일반기업,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",I,20221104,,
66,1338108121,20211228,(주)다온***,홍**,031 80843824,031 525 5238,16006,경기도 의왕시 이미로 40,"D동 803호 (포일동,인덕원아이티밸리)",일반,중소기업,일반기업,58222,응용 소프트웨어 개발 및 공급업,I,20221104,,
67,1058105809,20211228,원일전선판매***,정**,02-706-0061,02-706-0063,04172,서울 마포구 삼개로 21,"제2별관 301호 (도화동,근신빌딩)",일반,중소기업,일반기업,46522,통신·방송장비 및 부품 도매업,I,20221104,,
68,3448703246,20211228,(주)***,박**,02-6356-1311,02-6356-1312,04147,서울특별시 마포구 백범로31길 8,"업무시설 2동 607,608,609호 (공덕동,공덕에스케이리더스뷰)",일반,중소기업,일반기업,58222,응용 소프트웨어 개발 및 공급업,I,20221104,,
69,8708104412,20211228,(주)삼***,오**,042-823-9600,042-825-2719,32701,충남 금산군 복수면 복수로 1245-1,(지량리),일반,중소기업,일반기업,42311,일반전기 공사업,I,20221104,,
70,8368701718,20211228,지앨에스***,송**,042 9368974,042 9368977,34101,대전광역시 유성구 유성대로 1430,(방현동),일반,중소기업,일반기업,26121,발광 다이오드 제조업,I,20221104,,
71,1958102767,20211228,(주)아이티정***,강**,051-514-3700,051-518-7670,46215,부산 금정구 금단로 156,"상가동 105호 (남산동,미화공원맨션)",일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
72,3898602147,20211228,다올정보통신***,이**,053-218-7800,053-218-7810,42704,대구 달서구 성서서로36안길 8,(갈산동),일반,중소기업,일반기업,42320,통신 공사업,I,20221104,,
73,4168107798,20211228,(주)더***,홍**,053 252 0485,053 964 0485,40031,경상북도 성주군 성주읍 성주순환로 257-16,(성산리),일반,중소기업,일반기업,41121,사무·상업용 및 공공기관용 건물 건설업,I,20221104,,
74,1108100641,20211228,(주)유***,차**,070-4077-0100,02-385-0614,08389,서울특별시 구로구 디지털로26길 61,"2002호 (구로동,에이스하이엔드타워2차)",일반,중소기업,일반기업,58222,응용 소프트웨어 개발 및 공급업,I,20221104,,
75,1342807662,20211228,정석**,양**,031-417-6858,031-417-6859,15577,경기 안산시 상록구 한양대학로 86,3층 (사동),일반,중소기업,일반기업,41226,조경 건설업,I,20221104,,
76,1358106968,20211228,다우리조경***,한**,031 867 0314,031 867 0315,11318,경기 동두천시 장고갯로 98,2층 (생연동),일반,중소기업,일반기업,41226,조경 건설업,I,20221104,,
77,1263005847,20211228,라*,김**,,,12730,경기 광주시 초월읍 산수로,709-34 (무갑리),일반,중소기업,일반기업,41000,종합 건설업,I,20221104,,
78,5438708596,20211228,라온종합건설***,황**,07042330712,031 6295948,18505,경기도 화성시 동탄순환대로 127-9,"1010호 (산척동,우성에비뉴)",일반,중소기업,일반기업,41229,기타 토목 시설물 건설업,I,20221104,,
79,8718108956,20211228,(주)라온종***,정*,02 6989 9022,02-6989-9023,07548,서울특별시 강서구 화곡로 416,"607호, 608호 (등촌동,더스카이밸리5차)",일반,중소기업,일반기업,41110,주거용 건물 건설업,I,20221104,,
80,3148607049,20211228,(주)에이원종***,류**, 053 6239428,053 6239427,41520,대구광역시 북구 검단로,"5, 3층 (산격동)",일반,중소기업,일반기업,41229,기타 토목 시설물 건설업,I,20221104,,
81,5418606148,20211228,(주)쓰리케이***,송동수외***,07075250785,02-6902-0665,05402,서울 강동구 강동대로 177,"203호 (성내동,현대코랄)",일반,중소기업,일반기업,75999,그 외 기타 분류 안된 사업지원 서비스업,I,20221104,,
82,4988706295,20211228,하워드랩***,손**,,,28116,충청북도 청주시 청원구 오창읍 양청4길 45,C동 654호 충북대학교융합기술원 (주성리),일반,중소기업,일반기업,26129,기타 반도체소자 제조업,I,20221104,,
83,4038103695,20211228,(유)태***,김**,063-545-5454,063-546-5889,54341,전라북도 김제시 금구면 선비로 1391,(오봉리),일반,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
84,1078704532,20211228,(주)넥스트페이퍼***,손**,070-0827-2088,07082702081,03175,서울특별시 종로구 경희궁길 36,"505호 (신문로2가,경희당빌딩)",일반,중소기업,일반기업,63991,데이터베이스 및 온라인정보 제공업,I,20221104,,
85,8608109846,20211228,에이치앤***,이**,061-878-7272,062-974-9022,57248,전남 장성군 남면 나노산단5로 29,2층 (삼태리),일반,중소기업,일반기업,70209,기타 인문 및 사회과학 연구개발업,I,20221104,,
86,1218102500,20211228,(주)아***,김**,054 471 3418,054 471 3419,39047,경상북도 군위군 의흥면 산성가음로 1352-12,2층 203호 (수북리),일반,중소기업,일반기업,42310,전기 공사업,I,20221104,,
87,4598801266,20211228,시큐레터***,임**,031 608 8866,031 608 8810,13494,경기 성남시 분당구 판교역로 225-14,3층 (삼평동),일반,중소기업,일반기업,58200,소프트웨어 개발 및 공급업,I,20221104,,
88,4581901772,20211228,이노인**,방**,02-2291-1969,031-5175-7225,,,,일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
89,4018109013,20211228,(주)다***,강**,063 453 8006,063 453 8181,54045,전라북도 군산시 성산면 마동1길 5-22,2층 (도암리),일반,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
90,5048106900,20211228,(주)다온네***,김**,02  443 4112,02  443 4117,04130,서울 마포구 마포대로 173,"1630호 (공덕동,마포현대하이엘)",일반,중소기업,일반기업,42320,통신 공사업,I,20221104,,
91,1241904947,20211228,원일**,김**,031  2935284,,16623,경기 수원시 권선구 매송고색로711번길,100 (고색동),일반,중소기업,일반기업,41000,종합 건설업,I,20221104,,
92,6138108777,20211228,(주)원일종***,김**,055 762 5440,055 7627240,52833,경상남도 진주시 문산읍 문산로 955,(상문리),일반,중소기업,일반기업,42312,내부 전기배선 공사업,I,20221104,,
93,6188101874,20211228,(주)동신정***,임**,02-6959-1328,02-6959-1329,01359,서울 도봉구 방학로 192,"2층 (방학동,유성빌딩)",일반,중소기업,일반기업,42322,내부 통신배선 공사업,I,20221104,,
94,8178704856,20211228,(주)스***,김**, 033 4528891,033-452-8802,24034,강원도 철원군 갈말읍 명성로,239 (군탄리),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
95,5758805192,20211228,(주)경기종***,임**,070-8680-8146,0505-545-4989,12414,경기 가평군 가평읍 문화로 218-23,2층 (읍내리),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
96,3218802296,20211228,(주)***,김**,02-2026-2626,02-2026-2620,08507,서울 금천구 가산디지털1로 168,"A동 9층 908호 (가산동,우림라이온스밸리)",일반,중소기업,일반기업,63990,그 외 기타 정보 서비스업,I,20221104,,
97,7568105151,20211228,(주)카카오인베스***,권**,02  62614004,031 789 3530,06181,서울 강남구 테헤란로98길 11,"9층 (대치동,이지빌딩)",외감,대기업,일반기업,73903,사업 및 무형 재산권 중개업,I,20221104,,
98,6648802343,20211228,(주)인터***,변**,064 756 4004,064-742-4060,63125,제주도 제주시 삼무로3길,"46, 2층 (연동)",일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
99,2240404381,20211228,대주정***,이**,033 375 9900,,26226,강원 영월군 영월읍 선돌길,20-3 (방절리),일반,중소기업,일반기업,42320,통신 공사업,I,20221104,,
100,1358106967,20211228,(주)더원조***,이**,044 866 2270,044 866 2271,08730,서울 관악구 관악로40길 47,"1동 1층 13호 (봉천동,현대상가)",일반,중소기업,일반기업,41226,조경 건설업,I,20221104,,
101,4028104504,20211228,(유)호***,곽**,031 664 8014,031 275 8016,17854,경기 평택시 비전5로,"33, 602호 (비전동,스타타워)",일반,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
102,1388609051,20211228,(주)다우리***,이**,02  63376800,02  63376803,07208,서울특별시 영등포구 선유로49길 23,"608호 (양평동4가,선유도역2차아이에스비즈타워)",일반,중소기업,일반기업,26410,유선 통신장비 제조업,I,20221104,,
103,4018109303,20211228,(주)연***,임**,033 257 5171,033 257 5173,24348,강원도 춘천시 시청길 24,(조양동),일반,중소기업,일반기업,41222,"교량, 터널 및 철도 건설업",I,20221104,,
104,1348603459,20211228,(주)라온***,김**,02 720 5341,02 6455 8897,03929,서울특별시 마포구 성암로 189,"607호 (상암동,중소기업디엠씨타워)",일반,중소기업,일반기업,71530,경영 컨설팅 및 공공 관계 서비스업,I,20221104,,
105,4458709839,20211228,(주)라***,최**,032 4639978,,22218,인천광역시 남구 학익소로,"29, 604호 (학익동,석목빌딩)",일반,중소기업,일반기업,58219,기타 게임 소프트웨어 개발 및 공급업,I,20221104,,
106,3848105004,20211228,(주)제론소***,송**,070-7764-0100,050-7331-9153,04626,서울 중구 퇴계로36길 2,"충무로관 본관 1115호 (필동2가,동국대학교)",일반,중소기업,일반기업,62010,컴퓨터 프로그래밍 서비스업,I,20221104,,
107,1268104240,20211228,(주)**,홍봉표외 ***,031 632 0404,031 635 4444,17364,경기 이천시 향교로 60,(창전동),일반,중소기업,일반기업,42320,통신 공사업,I,20221104,,
108,4178107704,20211228,(주)영***,정**,061 684 5155,061 681 4634,59609,전남 여수시 대평길 133-12,(해산동),일반,중소기업,일반기업,42132,콘크리트 및 철근 공사업,I,20221104,,
109,6128105397,20211228,(주)영진산***,김**,055 688 5446,055 688 4411,53255,경상남도 거제시 거제중앙로16길,"17, 202호 (고현동,영진오피스텔)",일반,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
110,5038103273,20211228,한내건설***,임**,043-715-6626,043-715-6625,27702,충북 음성군 음성읍 시장로 53,103호 아우룸 (읍내리),일반,중소기업,일반기업,42121,토공사업,I,20221104,,
111,5038101107,20211228,(주)신화정보***,홍**,053 562 7000,053-555-7007,41842,대구광역시 서구 당산로67길,"22, 1층 (중리동)",일반,중소기업,일반기업,42201,배관 및 냉ㆍ난방 공사업,I,20221104,,
112,1368103641,20211228,동우건설***,박**,031 984 4422,031 984 4425,10126,경기도 김포시 고촌읍 고송로,36 (신곡리),외감,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
113,6138102806,20211228,(유)동우종***,이**,055 854 9166,055 854 8722,52517,경상남도 사천시 사천읍 수양로,123-2 (정의리),일반,중소기업,일반기업,41000,종합 건설업,I,20221104,,
114,5048104744,20211228,(주)영진엔지***,원**,053 959 0482,053 951 0485,41528,대구광역시 북구 복현로 80-5,(복현동),일반,중소기업,일반기업,42130,시설물 축조 관련 전문공사업,I,20221104,,
115,5148709883,20211228,(주)동***,박**,054-535-8414,054-535-8415,37255,경북 상주시 청리면 청리중앙로,166-9 (원장리),일반,중소기업,일반기업,42311,일반전기 공사업,I,20221104,,
116,2148606977,20211228,세연테크놀로지***,손**,02  34183030,02  34185678,13823,경기도 과천시 궁말로,4 (과천동),일반,중소기업,일반기업,58222,응용 소프트웨어 개발 및 공급업,I,20221104,,
117,1358102657,20211228,에스이테크놀로지***,박**,02-3282-9388,02-6915-4015,08505,서울 금천구 디지털로 121,"1711호 (가산동,에이스가산타워)",일반,중소기업,일반기업,58221,시스템 소프트웨어 개발 및 공급업,I,20221104,,
118,6020101642,20211228,에이스**,김**,051 253 4715,051-253-4716,49269,부산 서구 충무대로34번길,"37-7, 109호 (암남동,월드오피스텔)",일반,중소기업,일반기업,46522,통신·방송장비 및 부품 도매업,I,20221104,,
119,6168606746,20211228,에이스종합조경***,윤**,064-470-1357, 064 7021358,63191,제주도 제주시 오라로 136,2층 (오라일동),일반,중소기업,일반기업,41226,조경 건설업,I,20221104,,
120,1368804119,20211228,광보통신***,정**, 055 7446400,055-746-7749,,경상남도 진주시 신평공원길,"55, 지하1층 (평거동)",일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
121,6248608487,20211228,(주)인문***,김**,031-883-8885,031-882-2650,12654,경기도 여주시 명성로,"318, 103호 (매룡동)",일반,중소기업,일반기업,42320,통신 공사업,I,20221104,,
122,1171408293,20211228,서*,권**,02-2649-3081,,08087,서울특별시 양천구 은행정로6길,7-1 (신정동),일반,중소기업,일반기업,42420,유리 및 창호 공사업,I,20221104,,
123,4376108927,20211228,비전**,최**,010-6367-1403,,10109,경기 김포시 사우중로,"6, 301호 사우동 (사우동,성보 B/D)",일반,중소기업,일반기업,42400,실내건축 및 건축마무리 공사업,I,20221104,,
124,8261900715,20211228,에**,윤**,,,44692,울산 남구 삼산로93번길 40,3층 309호 (달동),일반,중소기업,일반기업,,,I,20221104,,
125,8011700203,20211228,에**,임**,,,62370,광주 광산구 우산로 130,1층 2호 (우산동),일반,중소기업,일반기업,41000,종합 건설업,I,20221104,,
126,1078805036,20211228,(주)토마토아이***,권**,053-951-4500,053-951-4501,41413,대구광역시 북구 동변로13길 20-1,(동변동),일반,중소기업,일반기업,26410,유선 통신장비 제조업,I,20221104,,
127,6268709028,20211228,대진아이에이***,박**,02-6951-5645,02-6951-5649,06754,서울특별시 서초구 강남대로23길 90,"201호 (양재동,기정빌딩)",일반,중소기업,일반기업,42400,실내건축 및 건축마무리 공사업,I,20221104,,
128,3718805857,20211228,(주)***,김두영외 ***,02-541-2070,,14067,경기도 안양시 동안구 시민대로,"230, D동 781호 (관양동,지니센터)",일반,중소기업,일반기업,58222,응용 소프트웨어 개발 및 공급업,I,20221104,,
129,2218105203,20211228,대성종합건설***,정**,033 535 0090,033 672 8476,32993,충청남도 논산시 체육로,"56, 201호 (취암동)",일반,중소기업,일반기업,41221,도로 건설업,I,20221104,,
130,4028104143,20211228,(유)에스***,최**,063-908-6770,063-278-3191,54950,전북 전주시 완산구 안터3길 12-1,1층 (서신동),일반,중소기업,일반기업,42310,전기 공사업,I,20221104,,
131,1358106248,20211228,(주)서***,김**,062 575 9023,062 383 8940,57301,전남 담양군 금성면 금성산성길 71,(원율리),외감,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
